homme demander-aras-sommet-falaise 
Beau-frere accompagner 
homme placer-perche 
homme demander-grimper 
homme retirer-perche 
Beau-frere prisonnier-sommet-falaise 
Beau-frere maigrir 
Beau-frere etre-recouvert-fiente 
Jaguar aider-descendre 
Jaguar amener-riviere-boire 
Jaguar vouloir-adopter 
Jaguar montrer-feu 
Beau-frere manger-viande-rotie 
Jaguar partir-chasser 
Beau-frere vouloir-manger 
Femme-Jaguar refuser 
Jaguar donner-arc 
Beau-frere tuer 
Beau-frere s-enfuir 
Jaguar dire-repondre-appel-rocher-arbre 
